userid,date,Age,Gender,Marital,STATE,Education,Income
70111962,202001,49,2,2,VA,College,Over 100k
70111963,202001,69,2,1,NJ,College,Over 100k
70111970,202001,60,1,2,FL,College,50k to 100k
70111982,202001,78,2,1,NV,Some College,Under 50k
70111984,202001,74,2,1,PA,Some College,50k to 100k
70111995,202001,64,2,1,FL,High School,Under 50k
70112005,202001,33,1,2,MI,Some College,50k to 100k
70112013,202001,29,2,1,NJ,College,Over 100k
70112015,202001,70,2,1,MD,College,Over 100k
70112019,202001,46,2,1,TX,College,Over 100k
70112023,202001,69,1,2,OK,Some College,50k to 100k
70112027,202001,54,1,2,FL,High School,50k to 100k
70112034,202001,47,1,1,VA,Some College,50k to 100k
70112035,202001,42,1,1,NY,College,50k to 100k
70112046,202001,59,2,1,FL,Some College,Under 50k
70112053,202001,63,2,2,OH,College,Under 50k
70112056,202001,67,2,1,FL,Some College,Under 50k
70112057,202001,30,2,2,MI,College,50k to 100k
70112059,202001,49,2,2,MI,Some College,50k to 100k
70112067,202001,30,1,1,GA,College,50k to 100k
70112071,202001,51,2,1,AL,Some College,50k to 100k
70112098,202001,51,2,2,AZ,College,50k to 100k
70112105,202001,67,2,1,GA,High School,50k to 100k
70112119,202001,63,1,2,ID,College,Under 50k
70112144,202001,54,1,1,UT,Some College,Over 100k
70112153,202001,50,2,1,UT,College,Over 100k
70112154,202001,54,2,1,NC,College,50k to 100k
70112158,202001,34,1,1,CA,College,Over 100k
70112167,202001,28,1,2,FL,College,Under 50k
70112183,202001,69,2,1,PA,High School,50k to 100k
70112185,202001,60,2,1,TN,College,Over 100k
70112203,202001,64,1,1,MN,High School,Under 50k
70112205,202001,30,2,1,WI,College,Over 100k
70112207,202001,61,2,1,PA,College,Over 100k
70112215,202001,41,2,1,WI,College,50k to 100k
70112218,202001,53,2,2,FL,Some College,Under 50k
70112221,202001,76,1,1,WI,Some College,50k to 100k
70112224,202001,44,2,1,NY,College,Over 100k
70112231,202001,56,2,1,IN,College,Over 100k
70112239,202001,78,2,1,PA,College,50k to 100k
70112240,202001,38,1,1,CA,College,Over 100k
70112245,202001,86,2,1,FL,College,Over 100k
70112248,202001,54,2,2,NY,College,Over 100k
70112252,202001,67,2,1,CA,Some College,Over 100k
70112255,202001,63,1,2,CA,Some College,Over 100k
70112258,202001,49,1,1,FL,Some College,50k to 100k
70112281,202001,68,2,1,MN,College,50k to 100k
70112299,202001,71,1,2,GA,College,50k to 100k
70112302,202001,69,2,1,OR,College,Over 100k
70112322,202001,44,1,1,MA,College,Over 100k
70112330,202001,32,2,1,FL,College,Over 100k
70112345,202001,58,1,1,CA,College,50k to 100k
70112352,202001,57,1,1,FL,High School,50k to 100k
70112353,202001,71,1,2,KS,College,Under 50k
70112364,202001,54,2,1,ID,Some College,50k to 100k
70112365,202001,36,2,2,AZ,College,Over 100k
70112384,202001,44,2,1,FL,Some College,50k to 100k
70112387,202001,71,1,1,WI,Some College,50k to 100k
70112394,202001,64,1,2,IL,Some College,Under 50k
70112402,202001,43,2,1,PA,College,Over 100k
70112417,202001,72,2,1,IN,High School,Under 50k
70112421,202001,48,1,2,GA,College,Under 50k
70112424,202001,56,2,1,WA,College,50k to 100k
70112427,202001,59,2,1,NC,Some College,Over 100k
70112543,202012,50,1,2,CA,Some College,Under 50k
70112547,202101,38,2,2,CT,College,Over 100k
70112569,202101,60,2,1,AL,College,Over 100k
70112576,202012,55,1,2,CA,High School,Under 50k
70112584,202101,60,1,1,MO,College,Over 100k
70112598,202012,39,1,1,MA,College,Over 100k
70112607,202012,65,1,1,VA,College,50k to 100k
70112613,202012,50,1,2,NY,College,50k to 100k
70112622,202012,48,2,1,NY,College,Over 100k
70112627,202012,29,2,2,TX,High School,Under 50k
70112633,202012,28,1,1,CO,College,Over 100k
70112638,202101,67,2,2,OK,College,Over 100k
70112647,202101,48,2,1,CA,College,Over 100k
70112651,202012,56,1,2,WV,Some College,50k to 100k
70112659,202012,26,1,1,PA,College,50k to 100k
70112671,202101,63,1,2,GA,Some College,Under 50k
70112677,202012,43,2,1,NY,College,Over 100k
